City,State,Latitude,Longitude,Population
Brawley,CA,32.9783,-115.5287,26934
Chicago Heights,IL,41.51,-87.6345,26938
Mint Hill,NC,35.1783,-80.6528,26954
Waukee,IA,41.5985,-93.8869,26974
Fulshear,TX,29.693,-95.8804,26986
Sun City West,AZ,33.6695,-112.3573,27003
Wooster,OH,40.8172,-81.9336,27012
Lemoore,CA,36.2949,-119.7983,27023
Carrollton,GA,33.5818,-85.0838,27058
West Linn,OR,45.367,-122.6399,27065
Kahului,HI,20.8715,-156.4603,27068
Gladstone,MO,39.2134,-94.5592,27069
Lindenhurst,NY,40.6858,-73.371,27106
Mason City,IA,43.1487,-93.1997,27135
Celina,TX,33.3154,-96.7941,27141
Balch Springs,TX,32.7194,-96.6151,27181
Kent,OH,41.149,-81.361,27190
New London,CT,41.3502,-72.1022,27199
Wright,FL,30.4445,-86.6419,27233
Pooler,GA,32.1043,-81.2569,27235
Thomasville,NC,35.8813,-80.0807,27261
Union City,GA,33.5942,-84.5629,27300
Fremont,NE,41.4395,-96.4873,27321
Deer Park,NY,40.7623,-73.3218,27334
Asheboro,NC,35.7158,-79.8127,27353
Green,OH,40.9483,-81.4757,27381
Marion,IN,40.5497,-85.6604,27384
Neenah,WI,44.1669,-88.4767,27409
Clinton,MS,32.354,-90.3403,27418
Millville,NJ,39.3903,-75.0561,27432
Kernersville,NC,36.1065,-80.0842,27439
New Lenox,IL,41.5095,-87.9703,27456
Pearl,MS,32.273,-90.0918,27458
Athens,AL,34.7843,-86.9503,27474
Lemon Grove,CA,32.7331,-117.0344,27489
Marshalltown,IA,42.0343,-92.9068,27491
Mililani Town,HI,21.4465,-158.0147,27495
Belmont,CA,37.5154,-122.2953,27505
Wilmette,IL,42.0771,-87.7282,27550
Ilchester,MD,39.2187,-76.7683,27552
Silver Springs Shores,FL,29.1126,-82.0149,27556
Lochearn,MD,39.3461,-76.7307,27591
Williamsport,PA,41.2399,-77.037,27629
Drexel Heights,AZ,32.1453,-111.048,27636
West Melbourne,FL,28.0694,-80.6736,27643
Dodge City,KS,37.7611,-100.0182,27652
Mount Pleasant,WI,42.7129,-87.8876,27694
Homewood,AL,33.4619,-86.809,27697
Alvin,TX,29.3872,-95.2938,27700
Tualatin,OR,45.3772,-122.7748,27710
South Laurel,MD,39.0603,-76.8456,27736
Reisterstown,MD,39.455,-76.814,27764
McHenry,IL,42.3387,-88.2932,27774
Madison,MS,32.4738,-90.13,27775
Garden City,KS,37.9753,-100.8527,27781
Monsey,NY,41.1181,-74.0682,27787
Shirley,NY,40.7936,-72.8748,27807
Hamtramck,MI,42.3954,-83.0559,27830
Prior Lake,MN,44.7246,-93.4419,27832
Walnut,CA,34.0334,-117.8593,27857
Huntley,IL,42.1599,-88.433,27859
Lake Jackson,TX,29.0516,-95.4521,27902
New Iberia,LA,30.0049,-91.8202,27926
Williston,ND,48.1814,-103.6364,27964
Maryland Heights,MO,38.7189,-90.4749,27981
Henderson,KY,37.8397,-87.5798,27994
Tysons,VA,38.9215,-77.2273,28022
Clayton,NC,35.659,-78.4498,28043
Crestview,FL,30.7477,-86.5785,28046
Ramsey,MN,45.2617,-93.4494,28070
Glen Cove,NY,40.8709,-73.6287,28101
Oakdale,MN,44.9876,-92.9641,28109
Maple Valley,WA,47.3659,-122.0368,28121
Allen Park,MI,42.2595,-83.2107,28128
Ridgecrest,CA,35.6308,-117.6622,28138
Chaska,MN,44.8164,-93.6091,28146
Citrus Park,FL,28.073,-82.5628,28163
Short Pump,VA,37.6549,-77.6201,28177
Eagle Pass,TX,28.7125,-100.484,28186
Forney,TX,32.744,-96.4529,28222
Fortuna Foothills,AZ,32.6616,-114.3974,28227
Bergenfield,NJ,40.9236,-73.9982,28269
Glen Ellyn,IL,41.8666,-88.0629,28270
Rockledge,FL,28.3203,-80.736,28279
Fort Mill,SC,35.0061,-80.9389,28281
Aberdeen,SD,45.4649,-98.4686,28297
Apollo Beach,FL,27.7618,-82.4003,28347
Monroeville,PA,40.4262,-79.7605,28383
Jamestown,NY,42.0976,-79.2367,28401
Madison Heights,MI,42.5073,-83.1034,28411
Lansing,IL,41.5648,-87.5462,28415
Frankfort,KY,38.1924,-84.8643,28452
Laplace,LA,30.0731,-90.4758,28480
Forest Hills,MI,42.9577,-85.4895,28494
Temescal Valley,CA,33.7581,-117.4677,28560
East Niles,CA,35.3683,-118.9225,28586
Carney,MD,39.405,-76.5235,28624
Northampton,MA,42.3266,-72.6745,28640
Danville,IL,40.1426,-87.6111,28663
Daphne,AL,30.6263,-87.8816,28673
Twentynine Palms,CA,34.1478,-116.0659,28738
Converse,TX,29.5091,-98.3084,28764
Golden Gate,FL,26.1844,-81.7031,28767
Burbank,IL,41.7444,-87.7686,28822
Greenville,MS,33.385,-91.0514,28833
Lake in the Hills,IL,42.1913,-88.3477,28853
Perry Hall,MD,39.4068,-76.478,28908
Jeffersontown,KY,38.2049,-85.5701,28988
Enterprise,AL,31.3275,-85.8463,28990
Shaker Heights,OH,41.4744,-81.5496,29004
Independence,KY,38.951,-84.5492,29024
Russellville,AR,35.2762,-93.1383,29057
East Lake-Orient Park,FL,27.997,-82.3653,29064
Sachse,TX,32.9726,-96.5793,29075
Easton,PA,40.6858,-75.2209,29079
Mehlville,MO,38.5018,-90.3149,29089
East Palo Alto,CA,37.4671,-122.1352,29143
Statesville,NC,35.7842,-80.8713,29161
Suisun City,CA,38.2473,-122.0091,29205
Clarksburg,MD,39.2246,-77.2659,29246
Harrison,NY,41.0236,-73.7193,29279
Jacksonville,AR,34.8807,-92.1304,29285
Kirkwood,MO,38.5788,-90.4203,29302
Fountain,CO,38.6886,-104.6829,29327
Englewood,NJ,40.8917,-73.9736,29342
Texarkana,AR,33.436,-93.9959,29343
Fleming Island,FL,30.0988,-81.7124,29351
Vero Beach South,FL,27.6132,-80.4163,29365
Garfield Heights,OH,41.4199,-81.6038,29369
Oak Park,MI,42.4649,-83.1824,29370
Bixby,OK,35.9454,-95.8776,29402
Eastern Goleta Valley,CA,34.4448,-119.7879,29411
San Lorenzo,CA,37.6733,-122.1332,29453
Casselberry,FL,28.6624,-81.3217,29473
Melrose,MA,42.4556,-71.059,29488
Magna,UT,40.7634,-112.1599,29488
Burton,MI,42.9974,-83.6175,29529
Southgate,MI,42.2047,-83.2057,29551
Anderson,SC,34.5211,-82.6478,29563
Raytown,MO,38.9944,-94.4641,29593
Laurel,MD,39.0949,-76.8622,29594
Central,LA,30.5593,-91.0369,29603
Schererville,IN,41.4861,-87.4442,29627
Hobart,IN,41.514,-87.2729,29646
Galesburg,IL,40.9506,-90.3763,29653
Orchards,WA,45.689,-122.5306,29716
Atascadero,CA,35.4827,-120.6858,29735
Rahway,NJ,40.6077,-74.2807,29748
Monterey,CA,36.5919,-121.8808,29772
San Carlos,CA,37.4982,-122.2677,29797
Gloucester,MA,42.626,-70.6897,29862
Crofton,MD,39.0144,-76.68,29878
Hazleton,PA,40.9505,-75.9725,29886
Algonquin,IL,42.1629,-88.3159,29904
Winter Park,FL,28.5989,-81.3442,29929
Greenville,TX,33.1116,-96.1099,29936
Paragould,AR,36.0555,-90.5149,29940
Fridley,MN,45.0841,-93.2595,29944
Matthews,NC,35.1195,-80.7101,29959
Drexel Hill,PA,39.9495,-75.3038,30015
Bowling Green,OH,41.3776,-83.6495,30051
McDonough,GA,33.4397,-84.1505,30056
Ruskin,FL,27.7065,-82.4209,30074
Summerlin South,NV,36.1242,-115.3324,30075
Austintown,OH,41.0932,-80.7405,30215
Middletown,NY,41.4459,-74.4236,30227
Highland Park,IL,42.1823,-87.8104,30229
Niles,IL,42.0278,-87.8099,30262
Granger,IN,41.7374,-86.1348,30279
Newark,DE,39.6776,-75.7576,30309
Brownsburg,IN,39.8337,-86.383,30310
Saratoga,CA,37.2684,-122.0263,30335
North Tonawanda,NY,43.0457,-78.8659,30338
Chamblee,GA,33.8842,-84.3007,30369
Parkville,MD,39.3832,-76.5519,30423
Redan,GA,33.7394,-84.1644,30426
Liberty,MO,39.2394,-94.4191,30446
Princeton,NJ,40.3562,-74.6693,30451
Ferry Pass,FL,30.5205,-87.1899,30467
Morrisville,NC,35.8368,-78.8348,30471
Gurnee,IL,42.3708,-87.9392,30486
Burlingame,CA,37.5859,-122.3667,30526
Franklin Square,NY,40.7002,-73.6775,30559
Lawrenceville,GA,33.9523,-83.9932,30626
Eldersburg,MD,39.4041,-76.9528,30626
West Falls Church,VA,38.8648,-77.1878,30660
Banning,CA,33.946,-116.8992,30680
Washington,UT,37.1303,-113.4878,30686
Miami Lakes,FL,25.9125,-80.3214,30731
Los Altos,CA,37.3684,-122.0965,30736
Oakleaf Plantation,FL,30.1689,-81.8337,30737
Westfield,NJ,40.6516,-74.3432,30760
North Chicago,IL,42.3172,-87.8595,30772
La Verne,CA,34.1207,-117.7703,30804
Sanford,NC,35.4875,-79.177,30833
Ballwin,MO,38.595,-90.55,30835
Springfield,VA,38.781,-77.1839,30894
Laguna Hills,CA,33.5918,-117.6991,30921
Bella Vista,AR,36.4667,-94.2707,30935
Northport,AL,33.2586,-87.5993,30991
Hopkinsville,KY,36.8381,-87.4775,31011
North Royalton,OH,41.3138,-81.745,31013
Southlake,TX,32.9545,-97.1503,31044
Alamogordo,NM,32.8837,-105.9625,31063
Lawndale,CA,33.8884,-118.3531,31113
SeaTac,WA,47.4444,-122.2986,31143
Haines City,FL,28.1102,-81.6157,31156
Port Chester,NY,41.0051,-73.668,31162
Santa Paula,CA,34.3545,-119.0656,31202
New Smyrna Beach,FL,29.0249,-80.9652,31212
Holladay,UT,40.66,-111.8226,31236
Sterling,VA,39.0052,-77.405,31251
Bay Shore,NY,40.7288,-73.2495,31275
Orcutt,CA,34.8691,-120.4222,31284
Bluffton,SC,32.2135,-80.9316,31323
Zionsville,IN,39.9897,-86.3182,31442
LaGrange,GA,33.0274,-85.0384,31479
Eagle,ID,43.7223,-116.3866,31490
Centereach,NY,40.8681,-73.0821,31501
Shawnee,OK,35.3531,-96.9647,31511
Lakeside,FL,30.1356,-81.7674,31548
New Bern,NC,35.0955,-77.0723,31563
Fitchburg,WI,42.9859,-89.4255,31566
Bel Air North,MD,39.5543,-76.3732,31599
Middle River,MD,39.3436,-76.4253,31616
Nicholasville,KY,37.8906,-84.5668,31625
Mundelein,IL,42.2693,-88.0102,31632
Naugatuck,CT,41.489,-73.0518,31634
Bangor,ME,44.8323,-68.7906,31663
Bethany,OR,45.5614,-122.837,31700
West Bend,WI,43.4173,-88.1818,31722
Lake Magdalene,FL,28.0875,-82.4791,31733
Dania Beach,FL,26.0593,-80.1637,31739
San Pablo,CA,37.9629,-122.3426,31771
Seguin,TX,29.5891,-97.9676,31789
Ithaca,NY,42.4442,-76.5032,31792
Rome,NY,43.226,-75.4909,31795
Sun City Center,FL,27.715,-82.3569,31801
Pekin,IL,40.5678,-89.6251,31812
Carlsbad,NM,32.401,-104.2388,31813
Laramie,WY,41.3099,-105.6085,31848
Marrero,LA,29.8871,-90.1126,31866
Oceanside,NY,40.6328,-73.6364,31907
Erie,CO,40.0404,-105.0399,31927
Milford Mill,MD,39.3444,-76.7668,31939
Pullman,WA,46.7336,-117.168,31939
Opelika,AL,32.6612,-85.3769,31944
Beverly Hills,CA,34.0786,-118.4021,31955
Duluth,GA,34.0053,-84.1492,31958
Juneau,AK,58.4546,-134.1739,31969
West Odessa,TX,31.8389,-102.5003,31985
Cornelius,NC,35.4724,-80.8813,32009
Atwater,CA,37.3529,-120.5959,32013
Fair Oaks,CA,38.6504,-121.2496,32030
North Olmsted,OH,41.4149,-81.919,32031
Oak Ridge,TN,35.9639,-84.2938,32088
Nacogdoches,TX,31.6134,-94.6528,32104
Elk Grove Village,IL,42.0064,-87.9921,32132
O'Fallon,IL,38.5974,-89.9148,32139
Wheat Ridge,CO,39.7728,-105.1028,32158
Massillon,OH,40.7838,-81.5254,32177
Long Branch,NJ,40.2965,-73.9915,32184
Hutto,TX,30.5396,-97.544,32188
Maryville,TN,35.7468,-83.9789,32196
Spring Valley,CA,32.7317,-116.9766,32215
Buenaventura Lakes,FL,28.3349,-81.3539,32310
Florence,KY,38.9899,-84.6471,32334
Aiken,SC,33.5303,-81.7271,32334
Fallbrook,CA,33.3693,-117.2259,32467
Garfield,NJ,40.8791,-74.1085,32502
Garner,NC,35.6936,-78.6181,32543
Des Moines,WA,47.3914,-122.3156,32545
Goleta,CA,34.4361,-119.8594,32693
Lathrop,CA,37.809,-121.3131,32696
Savage,MN,44.7545,-93.3632,32706
Pasadena,MD,39.1552,-76.5537,32717
St. Charles,IL,41.9193,-88.3109,32733
Los Gatos,CA,37.2304,-121.9562,32773
Menlo Park,CA,37.4685,-122.1673,32775
Desert Hot Springs,CA,33.955,-116.5429,32786
Brooklyn Center,MN,45.0681,-93.3162,32811
Andover,MN,45.2571,-93.3265,32825
Bell,CA,33.9801,-118.1798,32830
Kaysville,UT,41.029,-111.9456,32861
Glendale Heights,IL,41.9196,-88.0785,32864
Rochester,NH,43.299,-70.9787,32866
Dana Point,CA,33.4733,-117.6967,32883
Clearfield,UT,41.103,-112.0238,32895
Sherwood,AR,34.8507,-92.2029,32915
Canyon Lake,TX,29.8761,-98.2611,32924
Foster City,CA,37.5553,-122.2659,32964
Cleburne,TX,32.3568,-97.4151,32966
Cottonwood Heights,UT,40.6137,-111.8144,32984
Spring Valley,NY,41.1151,-74.0486,32995
Martinez,GA,33.5209,-82.0985,33019
East Lake,FL,28.1206,-82.6868,33019
Bethel Park,PA,40.3238,-80.0364,33070
Helena,MT,46.5965,-112.0202,33126
West Little River,FL,25.8571,-80.2367,33147
Chester,PA,39.8456,-75.3718,33209
Gillette,WY,44.2752,-105.4982,33278
Huntington Station,NY,40.8446,-73.405,33283
Petersburg,VA,37.2043,-77.3913,33365
Ken Caryl,CO,39.577,-105.1144,33407
Goldsboro,NC,35.3778,-77.9717,33448
Baldwin,NY,40.6511,-73.6075,33595
Harker Heights,TX,31.0572,-97.6446,33595
Gadsden,AL,34.0086,-86.0157,33617
Kennesaw,GA,34.026,-84.6177,33627
Alabaster,AL,33.2198,-86.8225,33633
Uniondale,NY,40.7176,-73.5947,33637
Statesboro,GA,32.4375,-81.7751,33705
Walla Walla,WA,46.0671,-118.3368,33766
Englewood,CO,39.6468,-104.9942,33774
Deer Park,TX,29.6898,-95.1151,33823
Cibolo,TX,29.5634,-98.2115,33829
Leawood,KS,38.9075,-94.6258,33844
Kingman,AZ,35.217,-114.0105,33850
Woodridge,IL,41.737,-88.0409,33889
Weatherford,TX,32.7536,-97.7723,33924
Eastpointe,MI,42.4657,-82.9461,34003
Syracuse,UT,41.0859,-112.0698,34009
Kearney,NE,40.7011,-99.0833,34024
Westlake,OH,41.4524,-81.9294,34036
Crown Point,IN,41.4143,-87.3457,34042
San Dimas,CA,34.1082,-117.809,34099
New City,NY,41.1542,-73.9912,34133
Lufkin,TX,31.3217,-94.7277,34158
Dakota Ridge,CO,39.6192,-105.1344,34159
Montgomery Village,MD,39.1788,-77.1954,34161
Cooper City,FL,26.0463,-80.2862,34166
South Riding,VA,38.912,-77.5132,34200
Pikesville,MD,39.3893,-76.702,34253
Westmont,CA,33.9417,-118.3018,34291
Stow,OH,41.1765,-81.4344,34317
Spanaway,WA,47.0979,-122.4233,34322
Pleasant Hill,CA,37.9539,-122.0759,34335
Goshen,IN,41.5743,-85.8309,34374
Valparaiso,IN,41.4783,-87.0506,34377
College Park,MD,38.996,-76.9337,34397
Meridian,MS,32.3846,-88.6896,34466
Lewiston,ID,46.3934,-116.9933,34471
McMinnville,OR,45.211,-123.1918,34493
Fairborn,OH,39.801,-84.0094,34506
Manitowoc,WI,44.0991,-87.6812,34553
Prosper,TX,33.2394,-96.8087,34567
Manhattan Beach,CA,33.8894,-118.3967,34584
Canton,GA,34.2467,-84.4897,34587
Del Rio,TX,29.3708,-100.8801,34638
Northbrook,IL,42.1292,-87.8352,34642
University City,MO,38.6657,-90.3315,34655
Merritt Island,FL,28.3139,-80.6708,34718
Long Beach,NY,40.5887,-73.666,34741
University Place,WA,47.2147,-122.5461,34850
Butte,MT,45.902,-112.6571,34929
Oildale,CA,35.4293,-119.0306,34971
Timberwood Park,TX,29.6995,-98.4838,34980
Pueblo West,CO,38.3465,-104.7246,34992
San Juan Capistrano,CA,33.5008,-117.6544,34998
Prairieville,LA,30.3151,-90.9571,35010
Sahuarita,AZ,31.9323,-110.9654,35012
Golden Glades,FL,25.9129,-80.2013,35042
West Hollywood,CA,34.0883,-118.3719,35090
Graham,WA,47.0322,-122.2827,35090
Mason,OH,39.3571,-84.3023,35148
Fair Lawn,NJ,40.9359,-74.1177,35153
Redmond,OR,44.2612,-121.181,35161
Chillum,MD,38.9666,-76.9791,35163
Oakville,MO,38.4479,-90.3199,35166
Wildwood,MO,38.58,-90.6698,35168
Orangevale,CA,38.6881,-121.2209,35219
Calumet City,IL,41.6134,-87.5505,35253
Watertown Town,MA,42.37,-71.1774,35270
Hinesville,GA,31.8248,-81.6137,35282
Brunswick,OH,41.2465,-81.8198,35284
American Fork,UT,40.3783,-111.7953,35312
Gahanna,OH,40.0251,-82.8637,35438
Oswego,IL,41.6834,-88.3372,35463
Addison,IL,41.9313,-88.0085,35470
Fair Oaks,VA,38.8653,-77.3586,35472
Springville,UT,40.1638,-111.6205,35474
Stockbridge,GA,33.5254,-84.2295,35475
Torrington,CT,41.8349,-73.1282,35481
Kendall West,FL,25.7065,-80.4388,35492
Richmond,KY,37.7307,-84.2925,35498
Cookeville,TN,36.1482,-85.5109,35544
Richmond,IN,39.8318,-84.8905,35551
Monroe,NC,35.0063,-80.5596,35596
Fruit Cove,FL,30.0972,-81.6175,35609
Owings Mills,MD,39.4115,-76.7913,35626
Carrollwood,FL,28.0577,-82.5148,35645
San Juan,TX,26.1903,-98.152,35674
Egypt Lake-Leto,FL,28.0177,-82.5062,35709
Salisbury,NC,35.6658,-80.4905,35730
Midvale,UT,40.6148,-111.8927,35736
Temple City,CA,34.1022,-118.0579,35749
Franklin,WI,42.8854,-88.0104,35751
Marion,OH,40.5973,-83.1227,35771
Inver Grove Heights,MN,44.8247,-93.0596,35772
Norristown,PA,40.1225,-75.3398,35782
Plainfield,IN,39.6954,-86.3716,35783
Parkland,FL,26.3219,-80.2533,35799
East Meadow,NY,40.7197,-73.5604,35806
El Mirage,AZ,33.5905,-112.3271,35823
Roseville,MN,45.0155,-93.1545,35905
Windsor,CO,40.469,-104.9198,35918
Lauderdale Lakes,FL,26.1682,-80.2017,35924
Kaneohe,HI,21.4062,-157.7904,35945
Benton,AR,34.5776,-92.5713,35954
Moorpark,CA,34.2861,-118.8768,35957
Randallstown,MD,39.3723,-76.8024,35975
Richmond West,FL,25.6105,-80.4297,35988
San Luis,AZ,32.4911,-114.7089,35998
Olney,MD,39.1465,-77.0715,36000
North Ridgeville,OH,41.3852,-82.0195,36043
Dunedin,FL,28.0329,-82.7862,36060
La Porte,TX,29.6689,-95.0484,36077
Socorro,TX,31.6383,-106.2601,36237
Farmers Branch,TX,32.9272,-96.8804,36254
Douglasville,GA,33.7384,-84.7054,36284
Woodstock,GA,34.1026,-84.5091,36297
Upper Arlington,OH,40.0272,-83.0704,36319
Merrillville,IN,41.4728,-87.3196,36343
Commack,NY,40.8435,-73.2833,36353
Elmont,NY,40.7033,-73.7078,36436
Sun Prairie,WI,43.1825,-89.2362,36455
Oak Creek,WI,42.8803,-87.9009,36473
Claremont,CA,34.1259,-117.7153,36553
Beloit,WI,42.523,-89.0184,36554
Hilliard,OH,40.0353,-83.1578,36560
Kiryas Joel,NY,41.3411,-74.1667,36572
South Valley,NM,35.0093,-106.6819,36605
La Presa,CA,32.711,-117.0027,36669
Richfield,MN,44.8763,-93.2829,36725
Rock Island,IL,41.4699,-90.5827,36758
Oakton,VA,38.8887,-77.3016,36776
Muskogee,OK,35.7432,-95.3567,36819
Hanover Park,IL,41.9818,-88.1446,36850
Martinez,CA,37.9985,-122.1161,36926
Wildomar,CA,33.6173,-117.2582,36953
Tucker,GA,33.8436,-84.2024,37022
Kearns,UT,40.6519,-112.0095,37058
Copperas Cove,TX,31.1192,-97.914,37149
Leavenworth,KS,39.3239,-94.924,37176
Cedar City,UT,37.6834,-113.0956,37202
Midlothian,TX,32.4669,-96.989,37256
Estero,FL,26.4276,-81.7951,37258
Tooele,UT,40.5393,-112.3082,37265
Mission Bend,TX,29.6948,-95.6658,37280
Foothill Farms,CA,38.6867,-121.3475,37332
Greenfield,WI,42.9619,-88.0052,37361
La Puente,CA,34.0323,-117.9533,37404
Oregon City,OR,45.3418,-122.5924,37482
South Miami Heights,FL,25.5886,-80.3862,37525
Pacifica,CA,37.6113,-122.4782,37527
Pleasant Grove,UT,40.3716,-111.7412,37544
Carpentersville,IL,42.1227,-88.2896,37544
Monrovia,CA,34.165,-117.9921,37553
Bartlesville,OK,36.7365,-95.9456,37559
New Albany,IN,38.309,-85.8234,37589
Evans,GA,33.5619,-82.1351,37718
Fuquay-Varina,NC,35.5953,-78.7778,37749
Central Islip,NY,40.7836,-73.1945,37751
Rome,GA,34.2662,-85.1863,37754
Winchester,NV,36.1365,-115.137,37774
Hilton Head Island,SC,32.1896,-80.7499,37805
Montclair,CA,34.0715,-117.6981,37809
Tupelo,MS,34.2692,-88.7318,37825
Lewiston,ME,44.0915,-70.1681,37886
Holyoke,MA,42.2125,-72.6411,37949
Portage,IN,41.5856,-87.1797,37951
Northglenn,CO,39.9108,-104.9783,37953
Adelanto,CA,34.5814,-117.4397,38010
Sun City,AZ,33.6165,-112.2819,38018
Hot Springs,AR,34.4892,-93.0501,38023
Riviera Beach,FL,26.7813,-80.0741,38032
Clovis,NM,34.4376,-103.1923,38153
Georgetown,KY,38.2247,-84.5487,38206
East Point,GA,33.6696,-84.4701,38233
La Quinta,CA,33.6536,-116.2785,38299
Mechanicsville,VA,37.6263,-77.3561,38437
Urbana,IL,40.1107,-88.1973,38447
Winter Springs,FL,28.6889,-81.2703,38448
Calexico,CA,32.6849,-115.4944,38476
Phenix City,AL,32.4585,-85.0253,38477
Atlantic City,NJ,39.3797,-74.4527,38486
Wheeling,IL,42.1308,-87.924,38495
Westerville,OH,40.1241,-82.921,38543
Stanton,CA,33.8003,-117.9935,38639
Security-Widefield,CO,38.7489,-104.7142,38659
Bell Gardens,CA,33.9663,-118.155,38661
Vestavia Hills,AL,33.4518,-86.7437,38704
Clinton,MD,38.7499,-76.9063,38756
San Gabriel,CA,34.0949,-118.099,38764
Valrico,FL,27.9193,-82.2293,38820
Prattville,AL,32.4597,-86.4573,38850
La Vergne,TN,36.02,-86.5586,38944
Menomonee Falls,WI,43.1487,-88.1227,38963
Peachtree City,GA,33.3942,-84.571,38977
Navarre,FL,30.4174,-86.8907,38988
Keizer,OR,45.0028,-123.0243,39013
Owasso,OK,36.2878,-95.8311,39013
Roy,UT,41.1714,-112.0485,39021
Streamwood,IL,42.0209,-88.1779,39055
Warren,OH,41.239,-80.8174,39057
Royal Palm Beach,FL,26.7038,-80.2241,39089
Parkland,WA,47.1417,-122.4376,39174
Grants Pass,OR,42.4333,-123.3317,39183
Quincy,IL,39.9336,-91.3799,39188
Greer,SC,34.933,-82.2313,39191
Park Ridge,IL,42.0125,-87.8436,39241
Bettendorf,IA,41.5657,-90.4765,39297
West Fargo,ND,46.8573,-96.9057,39325
Aventura,FL,25.9566,-80.1371,39372
Carol Stream,IL,41.9181,-88.1307,39427
Lakewood Ranch,FL,27.4185,-82.3948,39434
Chelsea,MA,42.3959,-71.0325,39460
Rosenberg,TX,29.5456,-95.8223,39467
Issaquah,WA,47.5439,-122.0471,39472
Severna Park,MD,39.087,-76.5687,39499
Lake Stevens,WA,48.0024,-122.0953,39500
Lincoln Park,MI,42.2432,-83.1811,39511
Rexburg,ID,43.8226,-111.7919,39589
Apache Junction,AZ,33.3985,-111.535,39746
Fort Lee,NJ,40.8509,-73.9713,39818
DeLand,FL,29.0225,-81.2875,39832
Hutchinson,KS,38.0671,-97.9081,39837
Waipahu,HI,21.3859,-158.0101,39871
Duncanville,TX,32.646,-96.9127,39879
Hobbs,NM,32.7281,-103.16,39887
Hurst,TX,32.8353,-97.1809,39912
Oviedo,FL,28.658,-81.1872,39990
Culver City,CA,34.0058,-118.3968,39993
Plant City,FL,28.014,-82.1201,40009
Cape Girardeau,MO,37.3109,-89.5597,40047
Cottage Grove,MN,44.8161,-92.9274,40124
The Acreage,FL,26.774,-80.2779,40188
Valley Stream,NY,40.6647,-73.7043,40278
Findlay,OH,41.0469,-83.6379,40280
Lake Oswego,OR,45.4129,-122.7004,40367
New Berlin,WI,42.9726,-88.1291,40384
Pine Bluff,AR,34.2116,-92.0173,40436
Crystal Lake,IL,42.2333,-88.3351,40436
DeKalb,IL,41.9314,-88.7481,40464
Woodlawn,MD,39.3054,-76.7489,40476
Bartlett,IL,41.9804,-88.2071,40531
Kearny,NJ,40.7528,-74.1202,40570
Cedar Falls,IA,42.5195,-92.4536,40662
Essex,MD,39.3021,-76.4449,40670
Westfield,MA,42.1382,-72.7561,40673
Meadow Woods,FL,28.3698,-81.3467,40741
Annapolis,MD,38.9706,-76.5047,40744
Lancaster,TX,32.5922,-96.7739,40753
Germantown,TN,35.0829,-89.7824,40812
Friendswood,TX,29.511,-95.1981,40827
Mount Juliet,TN,36.199,-86.5115,40828
Lancaster,OH,39.7248,-82.6049,40902
Covington,KY,39.0334,-84.5166,40902
Lynnwood,WA,47.8284,-122.3033,40953
Maplewood,MN,44.9842,-93.0247,40981
Romeoville,IL,41.6318,-88.0997,40996
Reynoldsburg,OH,39.9588,-82.7943,41032
